IMF1(t-1),IMF1(t-2),IMF1(t-3),IMF2(t-1),IMF2(t-2),IMF2(t-3),IMF3(t-1),IMF3(t-2),IMF3(t-3),IMF4(t-1),IMF4(t-2),IMF4(t-3),IMF5(t-1),IMF5(t-2),IMF5(t-3),IMF6(t-1),IMF6(t-2),IMF6(t-3),IMF7(t-1),IMF7(t-2),IMF7(t-3),IMF8(t-1),IMF8(t-2),IMF8(t-3),IMF9(t-1),IMF9(t-2),IMF9(t-3),IMF10(t-1),IMF10(t-2),IMF10(t-3),IMF11(t-1),IMF11(t-2),IMF11(t-3),Tar
-0.377503909,-0.232173648,-0.151810234,-0.116938164,-0.114746898,-0.093242159,-0.078278332,-0.053316972,-0.048806178,-0.014789523,-0.01061416,-0.010272082,-0.006736549,0.02056912,0.030193176,0.030740759,0.033794517,0.037122889,0.039947184,0.04751506,0.051786519,0.06804874,0.071598164,0.073097653,0.073769853,0.088822923,0.090561384,0.091508004,0.102224067,0.170650149,1.246864544,1.2890817,1.350827635,2.464119639
-0.232173648,0.039947184,0.091508004,-0.101637225,-0.116938164,-0.114746898,-0.058383337,0.05297874,0.051786519,-0.006736549,-0.025966397,-0.092194197,0.013249614,-0.078278332,-0.017333683,-0.01061416,-0.014789523,0.030740759,0.295077498,0.008883502,-0.053316972,0.030193176,0.04751506,0.071598164,-0.152567249,0.06804874,-0.010272082,0.073769853,0.02056912,0.090561384,1.2890817,1.350827635,1.428906983,2.252838426
0.039947184,0.295077498,0.073769853,-0.072515306,-0.101637225,-0.116938164,0.047784797,-0.050565756,-0.053316972,0.013249614,-0.002459445,-0.12323091,-0.002005438,-0.058383337,-0.065085069,-0.025966397,-0.006736549,-0.01061416,0.392288248,-0.032973014,0.05297874,-0.017333683,0.008883502,0.04751506,0.054171648,0.030193176,-0.092194197,-0.152567249,-0.078278332,-0.010272082,1.350827635,1.428906983,1.519613069,1.673734926
0.295077498,0.392288248,-0.152567249,-0.034578036,-0.072515306,-0.101637225,0.08188031,0.046119824,0.05297874,-0.002005438,0.016143544,-0.093176754,-0.011072253,0.047784797,-0.103326386,-0.002459445,0.013249614,-0.025966397,0.273309929,-0.066376251,-0.050565756,-0.065085069,-0.032973014,0.008883502,0.099273918,-0.017333683,-0.12323091,0.054171648,-0.058383337,-0.092194197,1.428906983,1.519613069,1.618880886,1.618291636
0.392288248,0.273309929,0.054171648,0.006480345,-0.034578036,-0.072515306,-0.008643695,-0.039927669,-0.050565756,-0.011072253,-0.00303382,-0.018145492,0.003633898,0.08188031,-0.12386704,0.016143544,-0.002005438,-0.002459445,-0.001445427,-0.082254874,0.046119824,-0.103326386,-0.066376251,-0.032973014,-0.123279815,-0.065085069,-0.093176754,0.099273918,0.047784797,-0.12323091,1.519613069,1.618880886,1.722426145,1.798725815
0.273309929,-0.001445427,0.099273918,0.044974905,0.006480345,-0.034578036,-0.088276828,0.032510848,0.046119824,0.003633898,-0.032689621,0.066468029,0.012017716,-0.008643695,-0.121640307,-0.00303382,-0.011072253,0.016143544,-0.282731854,-0.076390778,-0.039927669,-0.12386704,-0.082254874,-0.066376251,-0.004526096,-0.103326386,-0.018145492,-0.123279815,0.08188031,-0.093176754,1.618880886,1.722426145,1.825868502,1.72838334
-0.001445427,-0.282731854,-0.123279815,0.075898243,0.044974905,0.006480345,-0.032963246,-0.024657335,-0.039927669,0.012017716,-0.0207449,0.121531646,-0.00173218,-0.088276828,-0.095738511,-0.032689621,0.003633898,-0.00303382,-0.413514584,-0.050394331,0.032510848,-0.121640307,-0.076390778,-0.082254874,0.126202767,-0.12386704,0.066468029,-0.004526096,-0.008643695,-0.018145492,1.722426145,1.825868502,1.924840182,1.666576757
-0.282731854,-0.413514584,-0.004526096,0.095482844,0.075898243,0.044974905,0.076876327,0.017524633,3.25E-02,-0.00173218,0.034883295,0.121376549,-0.018402679,-0.032963246,-0.049705817,-0.0207449,0.012017716,-0.032689621,-0.316912916,-0.011178492,-0.024657335,-0.095738511,-0.050394331,-0.076390778,-0.10375008,-0.121640307,0.121531646,0.126202767,-0.088276828,0.066468029,1.825868502,1.924840182,2.015083704,1.262543507
-0.413514584,-0.316912916,0.126202767,0.101595761,0.095482844,0.075898243,7.01E-02,-0.012769776,-0.024657335,-0.018402679,0.070948379,0.065077396,0.00045147,0.076876327,0.008977845,0.034883295,-0.00173218,-0.0207449,-0.041443488,0.030916699,0.017524633,-0.049705817,-0.011178492,-0.050394331,-0.022076823,-0.095738511,0.121376549,-0.10375008,-0.032963246,0.121531646,1.924840182,2.015083704,2.092543967,1.582322752
-0.316912916,-0.041443488,-0.10375008,0.093924891,0.101595761,9.55E-02,-0.04955313,0.012532591,0.017524633,0.00045147,0.030418828,-0.023145639,0.030246489,0.070072619,0.070143912,0.070948379,-0.018402679,0.034883295,0.263200926,0.064856673,-0.012769776,0.008977845,0.030916699,-0.011178492,0.102276266,-0.049705817,0.065077396,-0.022076823,0.076876327,0.121376549,2.015083704,2.092543967,2.153460487,0.763994985
-0.041443488,0.263200926,-0.022076823,0.073941466,0.093924891,0.101595761,-0.096324302,-0.018966151,-0.012769776,0.030246489,-0.060826901,-0.104564368,-0.004060821,-0.04955313,0.122703561,0.030418828,0.00045147,0.070948379,0.42787704,0.081794744,0.012532591,0.070143912,0.064856673,0.030916699,-0.066835853,0.008977845,-0.023145639,0.102276266,0.070072619,0.065077396,2.092543967,2.153460487,2.194464892,0.529518629
0.263200926,0.42787704,0.102276266,0.044649917,0.073941466,0.093924891,0.010556641,0.033011714,0.012532591,-0.004060821,-0.108131402,-0.142935864,-0.044843369,-0.096324302,0.156631218,-0.060826901,0.030246489,0.030418828,0.358362522,0.077363215,-0.018966151,0.122703561,0.081794744,0.064856673,-0.012699675,0.070143912,-0.104564368,-0.066835853,-0.04955313,-0.023145639,2.153460487,2.194464892,2.212687133,0.153110145
0.42787704,0.358362522,-0.066835853,0.010160868,0.044649917,0.073941466,0.106830243,-0.052464682,-0.018966151,-0.044843369,-0.047803084,-0.120405257,0.015440916,0.010556641,0.164813627,-0.108131402,-0.004060821,-0.060826901,0.089392148,0.052787212,0.033011714,0.156631218,0.077363215,0.081794744,0.039496396,0.122703561,-0.142935864,-0.012699675,-0.096324302,-0.104564368,2.194464892,2.212687133,2.205871253,0.544708955
0.358362522,0.089392148,-0.012699675,-0.024857042,0.010160868,0.044649917,0.033901043,0.070181305,0.033011714,0.015440916,0.07458511,-0.045388661,0.057258858,0.106830243,0.144432408,-0.047803084,-0.044843369,-0.108131402,-0.232784937,0.014540115,-0.052464682,0.164813627,0.052787212,0.077363215,-0.011528176,0.156631218,-0.120405257,0.039496396,0.010556641,-0.142935864,2.212687133,2.205871253,2.172498404,0.88487565
0.089392148,-0.232784937,0.039496396,-0.055777867,-0.024857042,0.010160868,-0.098939251,-0.074208273,-0.052464682,0.057258858,0.139156047,0.050953756,-0.034479865,0.033901043,0.097624031,0.07458511,0.015440916,-0.047803084,-0.430561595,-0.027363833,0.070181305,0.144432408,0.014540115,0.052787212,-0.004579631,0.164813627,-0.045388661,-0.011528176,0.106830243,-0.120405257,2.205871253,2.172498404,2.111911407,1.625171253
-0.232784937,-0.430561595,-0.011528176,-0.078598299,-0.055777867,-0.024857042,-0.076304227,0.051720725,0.070181305,-0.034479865,0.071928231,0.128061723,-0.061989621,-0.098939251,0.031283086,0.139156047,0.057258858,0.07458511,-0.393556621,-0.061992215,-0.074208273,0.097624031,-0.027363833,0.014540115,-0.016693101,0.144432408,0.050953756,-0.004579631,0.033901043,-0.045388661,2.172498404,2.111911407,2.024431956,1.060447447
-0.430561595,-0.393556621,-0.004579631,-0.090427617,-0.078598299,-0.055777867,0.072925705,0.003189794,-0.074208273,-0.061989621,-0.073030188,0.153307269,0.057253424,-0.076304227,-0.043978041,0.071928231,-0.034479865,0.139156047,-0.140491578,-0.080348353,0.051720725,0.031283086,-0.061992215,-0.027363833,0.028866457,0.097624031,0.128061723,-0.016693101,-0.098939251,0.050953756,2.111911407,2.024431956,1.911458944,0.915952327
-0.393556621,-0.140491578,-0.016693101,-0.089830555,-0.090427617,-0.078598299,0.108872234,-0.081554315,0.051720725,0.057253424,-0.158961852,0.115831157,0.055492795,0.072925705,-0.115552561,-0.073030188,-0.061989621,0.071928231,0.19053154,-0.077712822,0.003189794,-0.043978041,-0.080348353,-0.061992215,0.005732936,0.031283086,0.153307269,0.028866457,-0.076304227,0.128061723,2.024431956,1.911458944,1.775534783,0.325466634
-0.140491578,0.19053154,0.028866457,-0.076984617,-0.089830555,-0.090427617,-0.032396311,0.158153089,0.003189794,0.055492795,-0.098847924,0.031002104,-0.07680835,0.108872234,-0.170963023,-0.158961852,0.057253424,-0.073030188,0.41818333,-0.054862524,-0.081554315,-0.115552561,-0.077712822,-0.080348353,-0.050265208,-0.043978041,0.115831157,0.005732936,0.072925705,0.153307269,1.911458944,1.775534783,1.62036619,0.054805448
0.19053154,0.41818333,0.005732936,-0.05363622,-0.076984617,-0.089830555,-0.1249853,-0.201870599,-0.081554315,-0.07680835,0.056534382,-0.066270855,-0.038627445,-0.032396311,-0.200027185,-0.098847924,0.055492795,-0.158961852,0.418067777,-0.017850133,0.158153089,-0.170963023,-0.054862524,-0.077712822,0.04042204,-0.115552561,0.031002104,-0.050265208,0.108872234,0.115831157,1.775534783,1.62036619,1.450787045,-0.115695728
0.41818333,0.418067777,-0.050265208,-0.022864323,-0.05363622,-0.076984617,-0.015905331,0.194864476,0.158153089,-0.038627445,0.163950084,-0.136347372,0.085859186,-0.1249853,-0.19669253,0.056534382,-0.07680835,-0.098847924,0.191089557,0.023596881,-0.201870599,-0.200027185,-0.017850133,-0.054862524,0.022118623,-0.170963023,-0.066270855,0.04042204,-0.032396311,0.031002104,1.62036619,1.450787045,1.2726535,0.34869556
0.418067777,0.191089557,0.04042204,0.011316946,-0.022864323,-0.05363622,0.120747994,-0.147836755,-0.201870599,0.085859186,0.123190942,-0.151364371,0.017547374,-0.015905331,-0.160214587,0.163950084,-0.038627445,0.056534382,-0.137786425,0.058636473,0.194864476,-0.19669253,0.023596881,-0.017850133,-0.062908197,-0.200027185,-0.136347372,0.022118623,-0.1249853,-0.066270855,1.450787045,1.2726535,1.092665592,0.747254931
0.191089557,-0.137786425,0.022118623,0.044466362,0.011316946,-0.022864323,0.063116955,0.096915672,0.194864476,0.017547374,-0.028649065,-0.106453492,-0.080635377,0.120747994,-0.095459449,0.123190942,0.085859186,0.163950084,-0.389151132,0.078158054,-0.147836755,-0.160214587,0.058636473,0.023596881,0.029095296,-0.19669253,-0.151364371,-0.062908197,-0.015905331,-0.136347372,1.2726535,1.092665592,0.918114806,1.056776473
-0.137786425,-0.389151132,-0.062908197,0.072271571,0.044466362,0.011316946,-0.09622412,-0.079775035,-0.147836755,-0.080635377,-0.153253726,-0.021105827,-0.00179721,0.063116955,-0.01225579,-0.028649065,0.017547374,0.123190942,-0.427924644,0.077165241,0.096915672,-0.095459449,0.078158054,0.058636473,0.03944658,-0.160214587,-0.106453492,0.029095296,0.120747994,-0.151364371,1.092665592,0.918114806,0.756563106,1.424025812
-0.389151132,-0.427924644,0.029095296,0.091085199,0.072271571,0.044466362,-0.100030068,0.107361823,0.096915672,-0.00179721,-0.140010396,0.069577788,0.063847216,-0.09622412,0.076117701,-0.153253726,-0.080635377,-0.028649065,-0.236416885,0.056068183,-0.079775035,-0.01225579,0.077165241,0.078158054,-0.058356925,-0.095459449,-0.021105827,0.03944658,0.063116955,-0.106453492,0.918114806,0.756563106,0.61546532,1.601660521
-0.427924644,-0.236416885,0.03944658,0.098376541,0.091085199,0.072271571,0.05586156,-0.155215231,-0.079775035,0.063847216,-0.004919671,0.129742562,-0.000181208,-0.100030068,0.15507421,-0.140010396,-0.00179721,-0.153253726,0.078092902,0.020546516,0.107361823,0.076117701,0.056068183,0.077165241,0.005744473,-0.01225579,0.069577788,-0.058356925,-0.09622412,-0.021105827,0.756563106,0.61546532,0.501752996,1.532002343
